Row,Col,Anomaly_Score
0,0,0.17847357230195457
0,1,0.17847357230195818
0,2,0.12693616305648636
0,3,0.1170278695095456
0,4,0.10962420503421604
0,5,0.10962420503423295
0,6,0.08304029290500758
0,7,0.09169894341950964
0,8,0.03403063988569158
0,9,0.0367189993837442
0,10,0.036718999383700636
0,11,0.028998638389613543
0,12,0.0315986713009053
0,13,0.02824945186649151
0,14,0.028249451866422075
0,15,0.038023199234555986
0,16,0.030235676144799113
0,17,0.03533776926373906
0,18,0.035337769263667204
0,19,0.03724168549548136
0,20,0.10562461397577526
0,21,0.10982806456397455
0,22,0.10982806456407875
0,23,0.15042200144082318
0,24,0.14237910163543208
0,25,0.14694860603479243
0,26,0.14466499776519803
0,27,0.144664997765302
0,28,0.14605482676990517
0,29,0.0989498876627409
0,30,0.033743070758113315
0,31,0.0368358813923833
0,32,0.035830108214652746
0,33,0.030024702249282078
0,34,0.02920371049685666
0,35,0.03538518515302447
0,36,0.04112242488433861
0,37,0.04104926769793692
0,38,0.04104926769786957
0,39,0.03477547219800935
0,40,0.029784727333464576
0,41,0.03637126263290433
0,42,0.012585080328481057
0,43,0.010238865072921594
0,44,0.009912035603229454
0,45,0.019378349846704973
0,46,0.022316700343896736
0,47,0.013880403052932885
0,48,0.0258224581369375
0,49,0.018996954155134877
0,50,0.018996954155138676
0,51,0.13922402043759952
0,52,0.13916824788042967
0,53,0.13220634653530508
0,54,0.13763930179984632
0,55,0.13644088183384898
0,56,0.13872748046730918
0,57,0.14126394090678512
0,58,0.14525807023699663
0,59,0.14276769483201718
0,60,0.13633670207274565
0,61,0.13633670207284637
0,62,0.13703726739165245
0,63,0.13997239948893597
0,64,0.13863664067205897
0,65,0.13863664067197054
0,66,0.143739769958492
0,67,0.14723154794995724
0,68,0.1466964042657582
0,69,0.1466964042657543
0,70,0.1435879219042989
0,71,0.1435879219042988
0,72,0.12386475957649568
0,73,0.1483191057599797
0,74,0.14831910576000384
0,75,0.13422129518552506
0,76,0.19243835094405415
0,77,0.13544540517602824
0,78,0.13544540517592915
0,79,0.12894767921595673
0,80,0.14107699572734878
0,81,0.1337527040099932
0,82,0.30251650250186546
0,83,0.3025165025019277
0,84,0.35260496312723416
0,85,0.4023893372668701
0,86,0.4509822932710114
0,87,0.46186554283753717
0,88,0.45770235539323406
0,89,0.4577023553932319
0,90,0.4524959930489475
0,91,0.4380789903285571
0,92,0.44246230402228354
0,93,0.4491970095651767
0,94,0.44805282633971294
0,95,0.4634723893329031
0,96,0.46374060800484046
0,97,0.45453828162589927
0,98,0.45418308657399503
0,99,0.45406936948059906
1,0,0.15347946701316798
1,1,0.13712790141759554
1,2,0.13712790141753733
1,3,0.12949105336132402
1,4,0.11865753066483971
1,5,0.11865753066481653
1,6,0.1105842278920848
1,7,0.1170975131163392
1,8,0.0848233046776838
1,9,0.12487406683526923
1,10,0.12487406683524878
1,11,0.0924701003685744
1,12,0.12397067403255271
1,13,0.028655754738410758
1,14,0.028655754738295822
1,15,0.03449294408213996
1,16,0.0392849329353479
1,17,0.03630111431058028
1,18,0.03630111431065682
1,19,0.03520035379317541
1,20,0.03562331706452971
